Ovr,Name,POS,Team,W1,W2,W3,W4,W5,W6,W7,W8,W9,W10,W11,W12,W13,W14,W15,W16,W17,W18
84,Treyton Welch,TE,NO,,,58.0,,,,,,,,,,,,,,,
49,Michael Mayer,TE,LV,20.0,39.0,58.0,,,,,,,,,,,,,,,
44,George Kittle,TE,SF,10.0,,,,,,,,,,,,,,,,,
8,Kyle Pitts,TE,ATL,7.0,17.0,19.0,3.0,,,,,,,,,,,,,,
60,Tanner Conner,TE,MIA,33.0,57.0,42.0,57.0,,,,,,,,,,,,,,
46,Brock Wright,TE,DET,61.0,8.0,58.0,57.0,,,,,,,,,,,,,,
34,Adam Trautman,TE,DEN,48.0,11.0,58.0,28.0,,,,,,,,,,,,,,
28,Mason Taylor,TE,NYJ,38.0,51.0,28.0,11.0,,,,,,,,,,,,,,
78,Ben Sinnott,TE,WAS,61.0,46.0,58.0,57.0,,,,,,,,,,,,,,
65,Mo Alie-Cox,TE,IND,38.0,45.0,58.0,57.0,,,,,,,,,,,,,,
10,Dallas Goedert,TE,PHI,14.0,,10.0,1.0,,,,,,,,,,,,,,
20,AJ Barner,TE,SEA,57.0,9.0,38.0,8.0,,,,,,,,,,,,,,
84,Robert Tonyan,TE,KC,61.0,57.0,58.0,57.0,,,,,,,,,,,,,,
18,T.J. Hockenson,TE,MIN,31.0,41.0,5.0,22.0,,,,,,,,,,,,,,
84,Travis Vokolek,TE,ARZ,61.0,57.0,,,,,,,,,,,,,,,,
50,Mike Gesicki,TE,CIN,42.0,36.0,50.0,49.0,,,,,,,,,,,,,,
39,Evan Engram,TE,DEN,28.0,41.0,,24.0,,,,,,,,,,,,,,
81,Cam Grandy,TE,CIN,,,50.0,57.0,,,,,,,,,,,,,,
62,Cade Stover,TE,HST,25.0,,,,,,,,,,,,,,,,,
84,Payne Durham,TE,TB,61.0,57.0,58.0,57.0,,,,,,,,,,,,,,
72,James Mitchell,TE,CAR,,,,35.0,,,,,,,,,,,,,,
84,Blake Whiteheart,TE,CLV,61.0,57.0,58.0,57.0,,,,,,,,,,,,,,
68,Julian Hill,TE,MIA,61.0,57.0,55.0,41.0,,,,,,,,,,,,,,
38,Jeremy Ruckert,TE,NYJ,36.0,20.0,58.0,39.0,,,,,,,,,,,,,,
77,Connor Heyward,TE,PIT,61.0,49.0,58.0,56.0,,,,,,,,,,,,,,
84,Ross Dwelley,TE,DET,,,58.0,57.0,,,,,,,,,,,,,,
41,Gunnar Helm,TE,TEN,41.0,39.0,29.0,48.0,,,,,,,,,,,,,,
23,Noah Fant,TE,CIN,9.0,29.0,21.0,,,,,,,,,,,,,,,
84,Tucker Fisk,TE,LAC,,,58.0,57.0,,,,,,,,,,,,,,
84,Stone Smartt,TE,NYJ,,,,57.0,,,,,,,,,,,,,,
84,Brayden Willis,TE,SF,,57.0,58.0,57.0,,,,,,,,,,,,,,
53,Elijah Higgins,TE,ARZ,55.0,26.0,47.0,57.0,,,,,,,,,,,,,,
70,Charlie Kolar,TE,BLT,61.0,57.0,34.0,57.0,,,,,,,,,,,,,,
84,Durham Smythe,TE,CHI,61.0,57.0,58.0,57.0,,,,,,,,,,,,,,
84,David Martin-Robinson,TE,TEN,61.0,,58.0,,,,,,,,,,,,,,,
14,Brenton Strange,TE,JAX,17.0,37.0,7.0,16.0,,,,,,,,,,,,,,
67,Will Dissly,TE,LAC,40.0,46.0,,,,,,,,,,,,,,,,
68,Luke Schoonmaker,TE,DAL,61.0,57.0,54.0,42.0,,,,,,,,,,,,,,
33,Austin Hooper,TE,NE,44.0,24.0,32.0,38.0,,,,,,,,,,,,,,
1,Jake Ferguson,TE,DAL,22.0,3.0,3.0,5.0,,,,,,,,,,,,,,
58,Dawson Knox,TE,BUF,33.0,38.0,58.0,57.0,,,,,,,,,,,,,,
29,Theo Johnson,TE,NYG,48.0,22.0,44.0,14.0,,,,,,,,,,,,,,
84,Shane Zylstra,TE,DET,61.0,,,,,,,,,,,,,,,,,
26,Cole Kmet,TE,CHI,32.0,35.0,18.0,23.0,,,,,,,,,,,,,,
84,Terrance Ferguson,TE,LA,,57.0,,,,,,,,,,,,,,,,
84,Ko Kieft,TE,TB,61.0,57.0,58.0,,,,,,,,,,,,,,,
2,Hunter Henry,TE,NE,15.0,43.0,1.0,10.0,,,,,,,,,,,,,,
84,Harrison Bryant,TE,HST,,57.0,58.0,57.0,,,,,,,,,,,,,,
15,Jake Tonges,TE,SF,16.0,23.0,35.0,7.0,,,,,,,,,,,,,,
84,Nick Vannett,TE,MIN,,,,57.0,,,,,,,,,,,,,,
84,Feleipe Franks,TE,ATL,61.0,,,57.0,,,,,,,,,,,,,,
5,Tucker Kraft,TE,GB,17.0,1.0,27.0,15.0,,,,,,,,,,,,,,
11,Zach Ertz,TE,WAS,13.0,2.0,24.0,32.0,,,,,,,,,,,,,,
17,Harold Fannin Jr.,TE,CLV,6.0,12.0,30.0,30.0,,,,,,,,,,,,,,
75,Nate Adkins,TE,DEN,,,58.0,45.0,,,,,,,,,,,,,,
16,Sam LaPorta,TE,DET,5.0,30.0,23.0,24.0,,,,,,,,,,,,,,
56,Noah Gray,TE,KC,55.0,56.0,33.0,54.0,,,,,,,,,,,,,,
84,Tanner Hudson,TE,CIN,,,,57.0,,,,,,,,,,,,,,
21,Jonnu Smith,TE,PIT,10.0,25.0,31.0,43.0,,,,,,,,,,,,,,
22,David Njoku,TE,CLV,24.0,15.0,15.0,40.0,,,,,,,,,,,,,,
6,Dalton Kincaid,TE,BUF,4.0,17.0,4.0,18.0,,,,,,,,,,,,,,
84,Ian Thomas,TE,LV,61.0,57.0,58.0,57.0,,,,,,,,,,,,,,
9,Brock Bowers,TE,LV,2.0,14.0,20.0,20.0,,,,,,,,,,,,,,
83,Charlie Woerner,TE,ATL,61.0,57.0,57.0,57.0,,,,,,,,,,,,,,
70,Grant Calcaterra,TE,PHI,61.0,49.0,58.0,43.0,,,,,,,,,,,,,,
48,Drew Sample,TE,CIN,61.0,46.0,12.0,57.0,,,,,,,,,,,,,,
76,Eric Saubert,TE,SEA,61.0,57.0,43.0,57.0,,,,,,,,,,,,,,
84,Brenden Bates,TE,HST,,,,57.0,,,,,,,,,,,,,,
59,Colston Loveland,TE,CHI,37.0,57.0,35.0,,,,,,,,,,,,,,,
84,Quintin Morris,TE,JAX,,,,57.0,,,,,,,,,,,,,,
60,Daniel Bellinger,TE,NYG,42.0,57.0,50.0,47.0,,,,,,,,,,,,,,
32,Darren Waller,TE,MIA,,,,4.0,,,,,,,,,,,,,,
84,Isaiah Likely,TE,BLT,,,,57.0,,,,,,,,,,,,,,
31,Davis Allen,TE,LA,19.0,16.0,56.0,55.0,,,,,,,,,,,,,,
